[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
7
14
0
1
[TestDetails]
0;[47, 50];[47, 50];0
16;[23, 34, 38, 47, 50, 57, 63];[23, 34, 38, 47, 50, 57, 63];0
17;[1, 8, 9, 12, 13, 16, 17, 18, 19, 23, 27, 28, 47, 49, 50, 51, 55, 57, 59, 61, 62];[1, 8, 9, 12, 13, 16, 17, 18, 19, 23, 27, 28, 47, 49, 50, 51, 55, 57, 59, 61, 62];0
18;[1, 2, 4, 5, 6, 8, 9, 12, 18, 19, 23, 27, 28, 30, 32, 36, 38, 41, 43, 51, 54, 55, 57, 58, 59, 60, 61, 62];[1, 2, 4, 5, 6, 8, 9, 12, 18, 19, 23, 27, 28, 30, 32, 36, 38, 41, 43, 51, 54, 55, 57, 58, 59, 60, 61, 62];0
19;[1, 2, 4, 5, 6, 47, 50, 55, 56, 57, 58, 59, 60];[1, 2, 4, 5, 6, 47, 50, 55, 56, 57, 58, 59, 60];0
20;[1, 8, 9, 12, 14, 15, 16, 17, 18, 19, 23, 28, 37, 38, 41, 42, 50, 51, 55, 57, 59, 61, 62];[1, 8, 9, 12, 14, 15, 16, 17, 18, 19, 23, 28, 37, 38, 41, 42, 50, 51, 55, 57, 59, 61, 62];0
21;[0, 1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 36, 38, 39, 41, 43, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 63];[0, 1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 36, 38, 39, 41, 43, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 58, 59, 60, 61, 62, 63];1
22;[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 26, 27, 36, 37, 38, 40, 41, 43, 44, 48, 51, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63];[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 26, 27, 36, 37, 38, 40, 41, 43, 44, 48, 51, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63];0
23;[47, 49, 50, 55];[47, 49, 50, 55];0
24;[51];[51];0
25;[1, 2, 4, 5, 6, 47, 50, 55, 56, 57, 58, 59, 60];[1, 2, 4, 5, 6, 47, 50, 55, 56, 57, 58, 59, 60];0
26;[1, 2, 4, 5, 6, 8, 9, 10, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 36, 37, 38, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 61, 62, 63];[1, 2, 4, 5, 6, 8, 9, 10, 12, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 36, 37, 38, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 59, 61, 62, 63];0
27;[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 36, 38, 41, 45, 51, 55, 57, 58, 59, 60, 61, 62, 63];[1, 2, 4, 5, 6, 8, 9, 12, 15, 18, 19, 20, 21, 23, 24, 25, 27, 28, 29, 36, 38, 41, 45, 51, 55, 57, 58, 59, 60, 61, 62, 63];0
28;[1, 2, 4, 5, 6, 8, 9, 12, 15, 19, 23, 26, 27, 28, 36, 38, 41, 46, 47, 48, 49, 50, 51, 55, 57, 58, 59, 60, 61, 62];[1, 2, 4, 5, 6, 8, 9, 12, 15, 19, 23, 26, 27, 28, 36, 38, 41, 46, 47, 48, 49, 50, 51, 55, 57, 58, 59, 60, 61, 62];0
